status	path	owners	hunks	changed_lines
A	src/kodezart/prompts/sets/claude-opus/audit_claim.md	M6	1	16
A	src/kodezart/prompts/sets/claude-opus/audit_detection_removal.md	M6	1	34
A	src/kodezart/prompts/sets/claude-opus/audit_mandate.md	M6	1	17
A	src/kodezart/prompts/sets/claude-opus/audit_overclaim.md	M6	1	34
M	src/kodezart/prompts/sets/claude-opus/content_audit.md	M6	9	30
M	src/kodezart/prompts/sets/claude-opus/criteria_validation.md	M3	2	6
M	src/kodezart/prompts/sets/claude-opus/evaluation.md	M3	3	6
M	src/kodezart/prompts/sets/claude-opus/fire_prep_pass.md	M2	2	5
A	src/kodezart/prompts/sets/claude-opus/fire_record.md	M4	1	14
M	src/kodezart/prompts/sets/claude-opus/grooming_pass.md	M2	9	32
A	src/kodezart/prompts/sets/claude-opus/organize_assess.md	M2	1	48
A	src/kodezart/prompts/sets/claude-opus/organize_author.md	M2	1	59
A	src/kodezart/prompts/sets/claude-opus/organize_criteria_author.md	M2	1	66
A	src/kodezart/prompts/sets/claude-opus/organize_verify.md	M2	1	49
M	src/kodezart/prompts/sets/claude-opus/post_merge_review.md	M3	3	6
M	src/kodezart/prompts/sets/claude-opus/pr_description.md	M5	1	3
M	src/kodezart/prompts/sets/claude-opus/set.toml	M2,M4,M6	1	10
A	src/kodezart/prompts/sets/claude-opus/write_back_verify.md	M4	1	20
M	src/kodezart/services/agent_service.py	M3	13	27
A	src/kodezart/services/assertion_drift.py	M7	1	105
A	src/kodezart/services/audit_collection.py	M6	1	61
A	src/kodezart/services/audit_coverage.py	M6	1	87
A	src/kodezart/services/audit_requests.py	M6	1	198
A	src/kodezart/services/audit_sessions.py	M1,M2,M3,M6	1	135
A	src/kodezart/services/audit_sources.py	M6	1	167
A	src/kodezart/services/audit_terminal.py	M6	1	140
A	src/kodezart/services/barren_record_signals.py	M7	1	78
M	src/kodezart/services/base_resolver.py	M3	7	43
A	src/kodezart/services/check_classification.py	M5	1	72
M	src/kodezart/services/claim_heartbeat.py	M3	6	11
A	src/kodezart/services/criterion_sources.py	M2	1	35
M	src/kodezart/services/dispatch_pass.py	M3	8	24
A	src/kodezart/services/escalation_records.py	M4	1	105
A	src/kodezart/services/escalation_signals.py	M7	1	103
M	src/kodezart/services/fire_context.py	M1	7	18
M	src/kodezart/services/fire_dispatcher.py	M3	41	357
A	src/kodezart/services/fire_record_facts.py	M4	1	33
A	src/kodezart/services/git_observations.py	M1	1	28
A	src/kodezart/services/lane_escalation.py	M4	1	142
A	src/kodezart/services/lane_record_signals.py	M7	1	56
A	src/kodezart/services/lane_records.py	M4	1	88
A	src/kodezart/services/lane_reports.py	M5	1	64
M	src/kodezart/services/lifecycle_watcher.py	M4	46	132
A	src/kodezart/services/mandate_graph.py	M2	1	254
A	src/kodezart/services/organize_owner.py	M2	1	992
A	src/kodezart/services/organize_tick.py	M2	1	89
A	src/kodezart/services/owned_workspace.py	M1	1	37
M	src/kodezart/services/pass_gate.py	M3	14	97
M	src/kodezart/services/pass_scheduler.py	M3	10	21
M	src/kodezart/services/prompt_pass.py	M3	6	16
A	src/kodezart/services/recorded_assertion_drift.py	M7	1	115
A	src/kodezart/services/repo_observations.py	M1	1	12
A	src/kodezart/services/ruling_records.py	M4	1	137
M	src/kodezart/services/run_recorder.py	M4	10	60
A	src/kodezart/services/run_shape.py	M7	1	244
A	src/kodezart/services/run_surface_lease.py	M1	1	99
A	src/kodezart/services/scope_dispatcher.py	M3	1	133
A	src/kodezart/services/scope_membership.py	M1	1	70
A	src/kodezart/services/scope_planning.py	M3	1	99
A	src/kodezart/services/scope_resolution.py	M1	1	15
A	src/kodezart/services/scope_runtime.py	M5	1	328
A	src/kodezart/services/scope_tally.py	M5	1	138
A	src/kodezart/services/tracker_artifacts.py	M1	1	112
M	src/kodezart/services/tracker_boot.py	M1	3	43
M	src/kodezart/services/tracker_lifecycle.py	M4	18	85
